All solutions,All solutions (corrected),Player solutions,,,All,Player,t,p,df
4.945696171,4.945696171,100,,Min,0,0,,,
100,100,100,,Max,100,100,,,
100,100,35,,SD,35.04010282,44.44903533,,,
73.3186206,73.3186206,100,,Mean,40.81793879,61.04922395,,,
39.85764725,39.85764725,100,,T-test,,,3.9,0.0001,2328
66.52651806,66.52651806,21,,N,75,2255,,,
36.75198792,36.75198792,100,,,,,,,
-42.23407371,0,100,,,,,,,
596.2779364,0,49,,,,,,,
396.1643819,0,24,,,,,,,
-153.9898757,0,100,,,,,,,
29.11465353,29.11465353,0,,,,,,,
441.6383836,0,100,,,,,,,
16.7707027,16.7707027,46,,,,,,,
78.13166522,78.13166522,66,,,,,,,
51.91032732,51.91032732,42,,,,,,,
34.611712,34.611712,100,,,,,,,
48.71256211,48.71256211,0,,,,,,,
21.63079673,21.63079673,60,,,,,,,
100,100,100,,,,,,,
100,100,100,,,,,,,
66.4395507,66.4395507,60,,,,,,,
65.14469542,65.14469542,100,,,,,,,
48.71256211,48.71256211,100,,,,,,,
865.9158783,0,100,,,,,,,
93.81891364,93.81891364,100,,,,,,,
23.89415575,23.89415575,52,,,,,,,
-10.68725287,0,100,,,,,,,
314.2851115,0,100,,,,,,,
13.10322929,13.10322929,0,,,,,,,
59.76826566,59.76826566,100,,,,,,,
39.70976717,39.70976717,0,,,,,,,
1308.552657,0,100,,,,,,,
48.71256211,48.71256211,0,,,,,,,
33.80452373,33.80452373,52,,,,,,,
100,100,0,,,,,,,
16.7707027,16.7707027,65,,,,,,,
47.14610625,47.14610625,0,,,,,,,
48.71256211,48.71256211,0,,,,,,,
-2.697681408,0,100,,,,,,,
100,100,0,,,,,,,
66.4395507,66.4395507,100,,,,,,,
820.3814331,0,43,,,,,,,
74.8958982,74.8958982,60,,,,,,,
50.11166865,50.11166865,0,,,,,,,
100,100,100,,,,,,,
25.24204713,25.24204713,100,,,,,,,
8.172061909,8.172061909,69,,,,,,,
100,100,100,,,,,,,
66.4395507,66.4395507,41,,,,,,,
56.64041038,56.64041038,3,,,,,,,
290.4622601,0,35,,,,,,,
-30.29519083,0,0,,,,,,,
10.02355815,10.02355815,40,,,,,,,
645.1828807,0,100,,,,,,,
428.6566071,0,30,,,,,,,
38.05993594,38.05993594,100,,,,,,,
28.28334708,28.28334708,100,,,,,,,
16.7707027,16.7707027,100,,,,,,,
-16.08567903,0,0,,,,,,,
100,100,0,,,,,,,
66.4395507,66.4395507,100,,,,,,,
100,100,0,,,,,,,
48.71256211,48.71256211,100,,,,,,,
48.9065149,48.9065149,41,,,,,,,
30.77818561,30.77818561,58,,,,,,,
16.7707027,16.7707027,75,,,,,,,
66.4395507,66.4395507,0,,,,,,,
-7.835746387,0,100,,,,,,,
108.2017028,0,36,,,,,,,
16.7707027,16.7707027,100,,,,,,,
100,100,0,,,,,,,
11.90064236,11.90064236,100,,,,,,,
70.9609047,70.9609047,100,,,,,,,
34.56687477,34.56687477,0,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,0,,,,,,,
,,30,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,36,,,,,,,
,,48,,,,,,,
,,0,,,,,,,
,,48,,,,,,,
,,42,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,2,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,12,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,65,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,89,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,42,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,58,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,87,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,58,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,24,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,32,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,66,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,36,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,15,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,5,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,70,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,40,,,,,,,
,,100,,,,,,,
,,89,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,30,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,67,,,,,,,
,,100,,,,,,,
,,65,,,,,,,
,,42,,,,,,,
,,70,,,,,,,
,,30,,,,,,,
,,0,,,,,,,
,,59,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,77,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,16,,,,,,,
,,100,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,8,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,84,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,42,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,60,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,43,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,52,,,,,,,
,,66,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,4,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,42,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,16,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,91,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,2,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,94,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,78,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,87,,,,,,,
,,0,,,,,,,
,,27,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,8,,,,,,,
,,0,,,,,,,
,,29,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,11,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,36,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,84,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,5,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,23,,,,,,,
,,30,,,,,,,
,,0,,,,,,,
,,65,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,19,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,48,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,94,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,40,,,,,,,
,,67,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,94,,,,,,,
,,100,,,,,,,
,,60,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,43,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,42,,,,,,,
,,100,,,,,,,
,,75,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,29,,,,,,,
,,30,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,75,,,,,,,
,,42,,,,,,,
,,98,,,,,,,
,,0,,,,,,,
,,20,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,70,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,98,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,73,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,15,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,67,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,98,,,,,,,
,,69,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,54,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,69,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,0,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,52,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,100,,,,,,,
,,0,,,,,,,
,,73,,,,,,,
,,88,,,,,,,
,,100,,,,,,,
,,31,,,,,,,
,,18,,,,,,,
